ipa,approx,cons,son,syll,constr,spread,voice,long,cont_acoust,cont_artic,delrel,lat,nas,strid,tap,trill,coronal,dorsal,labial,labiodental,ant,dist,back,front,high,low,tense,round,str_cmu,str_sampa,f0,f1
p,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,P,p,,
m,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,,False,False,,False,M,m,,
pʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,pf,,
t,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,T,t,,
b,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,B,b,,
d,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,D,d,,
k,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,K,k,,
d̪,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
t̪,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
n,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,,False,False,,False,N,n,,
ɳ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɲ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,J,,
g,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,G,g,,
f,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,F,f,,
v,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,V,v,,
ʃ,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,SH,S,,
s,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,S,s,,
z,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,Z,z,,
ʒ,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,ZH,Z,,
j,True,False,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,Y,j,,
ɦ,False,True,False,False,False,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,h\,,
h,False,True,False,False,False,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,HH,h,,
q,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,q,,
ɸ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,,,
ʀ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,,False,False,,False,,R,,
ʁ,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
ɣ,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,,,
ɬ,False,True,False,False,False,False,False,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
ɮ,False,True,False,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
x,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,x,,
ʤ,False,True,False,False,False,False,True,,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,JH,dZ,,
ʧ,False,True,False,False,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,CH,tS,,
ð,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,DH,D,,
θ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,TH,T,,
β,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,B,,
ç,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,C,,
ʂ,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʐ,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
l,True,True,True,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,L,l,,
r,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,,False,False,,False,R,,,
ɾ,True,True,True,False,False,False,True,,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,,False,False,,False,,4,,
ɥ,True,False,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,,True,False,,True,,H,,
ʔ,False,True,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,,,
ŋ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,,True,False,,False,NG,N,,
ɻ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,r\`,,
ħ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,True,,False,,,,
χ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
n̪,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
kʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,,,
tʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
ʈ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʈʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɖ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɖʰ,False,True,False,False,False,True,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʝ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,jj,,
kʷ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,,True,False,,True,,,,
gʷ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,,True,False,,True,,,,
ɢ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
kʲ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,,,,
gʲ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,,,,
ɱ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,,False,False,,False,,F,,
ʋ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,,,,
c,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,c,,
n̥,False,True,True,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
m̥,False,True,True,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,False,False,,False,,,,
pʷ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,True,,,,
bʷ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,True,,,,
ɬ̪,False,True,False,False,False,False,False,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ɮ̪,False,True,False,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
r̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,,False,False,,False,,,,
ɾ̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ɹ̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
w̃,True,True,True,False,False,False,True,,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,,True,False,,True,,,,
cʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,,,
t̪ʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
s̪,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
l̪,True,True,True,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ʟ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,True,True,,False,,,,
ɭ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʎ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,L,,
ʦ,False,True,False,False,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,,ts,,
